year,season_num,season,zone,biomass
2006,1,S12006,CN,"7,613"
2006,2,S22006,CN,"5,979"
2007,1,S12007,CN,"7,690"
2007,2,S22007,CN,"7,667"
2008,1,S12008,CN,"9,840"
2008,2,S22008,CN,"4,525"
2009,1,S12009,CN,"7,248"
2009,2,S22009,CN,"7,248"
2010,1,S12010,CN,"6,202"
2010,2,S22010,CN,"4,830"
2011,1,S12011,CN,"9,158"
2011,2,S22011,CN,"6,753"
2012,1,S12012,CN,"8,880"
2012,2,S22012,CN,"5,225"
2013,1,S12013,CN,"11,948"
2013,2,S22013,CN,"10,047"
2006,1,S12006,S,402
2006,2,S22006,S,523
2007,1,S12007,S,569
2007,2,S22007,S,1708
2008,1,S12008,S,1063
2008,2,S22008,S,117
2009,1,S12009,S,906
2009,2,S22009,S,906
2010,1,S12010,S,1918
2010,2,S22010,S,458
2011,1,S12011,S,1164
2011,2,S22011,S,145
2012,1,S12012,S,601
2012,2,S22012,S,2213
2013,1,S12013,S,321
2013,2,S22013,S,2101
