"year","season_num","biomass","landing","fishmeal_p","nino","zone"
2006,1,7613,2489.79,746.4,-0.005,"CN"
2006,2,5979,1834.2,922.588,-0.09,"CN"
2007,1,7690,2540.57,1288.935,-1.36,"CN"
2007,2,7667,2036.9,1261.635,-0.618333333333333,"CN"
2008,1,9840,2665.87,1173.71,0.145714285714286,"CN"
2008,2,4525,1769.67,1218.606,-0.332,"CN"
2009,1,7248,2842.85,1266.98333333333,0.47,"CN"
2009,2,7248,1286.26,1084.32,0.425,"CN"
2010,1,6202,2096.32,1138.15,-0.455,"CN"
2010,2,4830,392.79,1313.005,-0.82,"CN"
2011,1,9158,2610.64,1410.1425,0.21,"CN"
2011,2,6753,2120.1,1565.85,-0.535,"CN"
2012,1,8880,2161.01,1530.725,0.905,"CN"
2012,2,5225,429.02,1710.22666666667,-0.543333333333333,"CN"
2013,1,11948,1617.92,1740.05666666667,-1.18666666666667,"CN"
2013,2,10047,2247.51,1611.39714285714,-0.25,"CN"
2009,1,906,776.32,1109.27,0.348333333333333,"S"
2010,1,1918,614.59,1092.02333333333,-0.00166666666666667,"S"
2010,2,458,183.65,1227.44666666667,-1.17833333333333,"S"
2011,1,1164,1428.18,1401.6725,0.035,"S"
2011,2,145,798.4,1529.56571428571,-0.502857142857143,"S"
2012,1,601,774.64,1600.04666666667,0.495,"S"
2012,2,2213,219.56,1456.568,-0.424,"S"
2013,1,321,606.42,1783.18875,-0.97375,"S"
2013,2,2101,193.45,1611.815,-0.375,"S"
