"year","season_num","biomass","landing","fishmeal_p","nino"
2006,1,7613,2489.79,746.4,-0.005
2006,2,5979,1834.2,922.588,-0.09
2007,1,7690,2540.57,1288.935,-1.36
2007,2,7667,2036.9,1261.635,-0.618333333333333
2008,1,9840,2665.87,1173.71,0.145714285714286
2008,2,4525,1769.67,1218.606,-0.332
2009,1,7248,2842.85,1266.98333333333,0.47
2009,2,7248,1286.26,1084.32,0.425
2010,1,6202,2096.32,1138.15,-0.455
2010,2,4830,392.79,1313.005,-0.82
2011,1,9158,2610.64,1410.1425,0.21
2011,2,6753,2120.1,1565.85,-0.535
2012,1,8880,2161.01,1530.725,0.905
2012,2,5225,429.02,1710.22666666667,-0.543333333333333
2013,1,11948,1617.92,1740.05666666667,-1.18666666666667
2013,2,10047,2247.51,1611.39714285714,-0.25
